time,m_dot,cost_eur,true_cost_eur
2023-05-20 09:00:00+00:00,80.0,63473.61356646198,63473.613566471104
2023-05-20 10:00:00+00:00,80.0,63472.29912914711,63472.29912914711
2023-05-20 11:00:00+00:00,80.0,63472.29912914711,63472.29912914711
2023-05-20 12:00:00+00:00,80.0,63480.387974161684,63480.38797421781
2023-05-20 13:00:00+00:00,80.0,63472.29912914711,63472.29912914711
2023-05-20 14:00:00+00:00,80.0,63474.96844800192,63474.968448020445
2023-05-20 15:00:00+00:00,80.0,63524.75528906661,63524.75528943061
2023-05-20 16:00:00+00:00,75.0,59603.31097710913,59603.3109806873
2023-05-20 17:00:00+00:00,55.0,43733.54503627585,43733.54504031691
2023-05-20 18:00:00+00:00,45.0,35790.382795178986,35790.38280019424
2023-05-20 19:00:00+00:00,50.0,39759.995552471955,39759.99555447498
2023-05-20 20:00:00+00:00,55.0,43731.42026401644,43731.42026796837
2023-05-20 21:00:00+00:00,60.0,47700.95474945171,47700.954752869555
2023-05-20 22:00:00+00:00,75.0,59598.32544462316,59598.32544801936
2023-05-20 23:00:00+00:00,80.0,63551.32714493948,63551.32714548787
2023-05-21 00:00:00+00:00,80.0,63539.17365530509,63539.17365576914
2023-05-21 01:00:00+00:00,80.0,63529.06259903687,63529.06259943076
2023-05-21 02:00:00+00:00,80.0,63531.4083640911,63531.408364501265
2023-05-21 03:00:00+00:00,80.0,63528.07171552259,63528.0717159096
2023-05-21 04:00:00+00:00,80.0,63534.4619030841,63534.461903515454
2023-05-21 05:00:00+00:00,80.0,63528.01104918498,63528.01104957157
2023-05-21 06:00:00+00:00,80.0,63512.74335421997,63512.74335450062
2023-05-21 07:00:00+00:00,80.0,63476.62666122991,63476.626661259936
2023-05-21 08:00:00+00:00,80.0,63472.29912914711,63472.29912914711
2023-05-21 09:00:00+00:00,80.0,63471.32846774536,63471.328467738625
2023-05-21 10:00:00+00:00,80.0,63472.29912914711,63472.29912914711
2023-05-21 11:00:00+00:00,80.0,63472.31935125965,63472.319351259786
2023-05-21 12:00:00+00:00,80.0,63472.29912914711,63472.29912914711
2023-05-21 13:00:00+00:00,80.0,63470.05447465557,63470.05447463999
2023-05-21 14:00:00+00:00,80.0,63471.47002253312,63471.47002252736
2023-05-21 15:00:00+00:00,80.0,63476.7884381302,63476.788438161355
2023-05-21 16:00:00+00:00,80.0,63555.897342372715,63555.89734295281
2023-05-21 17:00:00+00:00,55.0,43742.203790280946,43742.20379468521
2023-05-21 18:00:00+00:00,50.0,39770.864320473025,39770.86432271846
2023-05-21 19:00:00+00:00,50.0,39768.593069259754,39768.59307145453
2023-05-21 20:00:00+00:00,50.0,39767.440824741796,39767.44082691088
2023-05-21 21:00:00+00:00,60.0,47708.62422425723,47708.624227946064
2023-05-21 22:00:00+00:00,65.0,51679.01433408796,51679.01433852471
2023-05-21 23:00:00+00:00,70.0,55648.44008421817,55648.440083697045
2023-05-22 00:00:00+00:00,75.0,59628.98738251308,59628.98738702846
2023-05-22 01:00:00+00:00,70.0,55656.970020699286,55656.97002013782
2023-05-22 02:00:00+00:00,70.0,55658.92066508838,55658.92066451768
2023-05-22 03:00:00+00:00,55.0,43758.04746782219,43758.04747289103
2023-05-22 04:00:00+00:00,40.0,31833.87762653464,31833.8776287143
2023-05-22 05:00:00+00:00,10.0,7963.943367820702,7963.9433680282245
2023-05-22 06:00:00+00:00,10.0,7962.707291191913,7962.707291390858
2023-05-22 07:00:00+00:00,50.0,39783.5390101705,39783.539012698624
2023-05-22 08:00:00+00:00,60.0,47722.279961698565,47722.2799658699
2023-05-22 09:00:00+00:00,70.0,55659.532307820555,55659.53230724697
2023-05-22 10:00:00+00:00,45.0,35810.65229254457,35810.65229872541
2023-05-22 11:00:00+00:00,75.0,59620.093776942864,59620.09378113362
2023-05-22 12:00:00+00:00,10.0,7964.3705599480345,7964.370560158521
2023-05-22 13:00:00+00:00,10.0,7964.373087712102,7964.373087922606
2023-05-22 14:00:00+00:00,45.0,35810.60256365015,35810.60256982813
2023-05-22 15:00:00+00:00,45.0,35812.64144832137,35812.6414546166
2023-05-22 16:00:00+00:00,60.0,47726.39297208099,47726.392976397656
2023-05-22 17:00:00+00:00,45.0,35810.59261787126,35810.59262404867
2023-05-22 18:00:00+00:00,10.0,7964.117783541329,7964.117783750062
2023-05-22 19:00:00+00:00,40.0,31836.12893505433,31836.128937284204
2023-05-22 20:00:00+00:00,50.0,39785.67731009323,39785.67731266905
2023-05-22 21:00:00+00:00,65.0,51697.80015556927,51697.8001607794
2023-05-22 22:00:00+00:00,70.0,55654.870598348316,55654.87059779678
2023-05-22 23:00:00+00:00,75.0,59625.28019169018,59625.28019607024
2023-05-23 00:00:00+00:00,80.0,63604.77418837327,63604.77418929253
2023-05-23 01:00:00+00:00,80.0,63597.91889222342,63597.91889309511
2023-05-23 02:00:00+00:00,80.0,63597.130229834496,63597.13023070072
2023-05-23 03:00:00+00:00,70.0,55665.15280860269,55665.15280800252
2023-05-23 04:00:00+00:00,60.0,47738.14830868556,47738.14831341758
2023-05-23 05:00:00+00:00,55.0,43766.64481222441,43766.644817653876
2023-05-23 06:00:00+00:00,60.0,47741.32469294129,47741.32469778555
