seed,year,strategy,n_hours,total_cost_eur,electricity_cost_eur,carbon_cost_eur,delivered_mass_kg,co2_t,reported_total_eur,relative_total_error_pct
19,2021,aware,8760,334404216.71297586,772369.6451710949,333631847.06780475,1508853600.0,4170398.08834756,334404216.71297586,0.0
19,2022,aware,8760,337206689.7967757,1918676.293917412,335288013.5028583,1516608000.0,4191100.168785729,337206689.79677576,-1.767599711954485e-14
19,2023,aware,8760,337967043.5049708,936892.3752000594,337030151.12977076,1526893200.0,4212876.889122134,337967043.50497085,-1.7636229899000183e-14
19,2024,aware,8784,334349568.09951484,746502.3454825091,333603065.7540324,1512039600.0,4170038.3219254045,334349568.09951484,0.0
19,2025,aware,8616,327483702.3399053,693946.5662394846,326789755.77366585,1478800800.0,4084871.9471708233,327483702.3399053,0.0
23,2021,aware,8760,336176934.93116784,756471.5525920929,335420463.3785757,1517270400.0,4192755.792232196,336176934.9311678,1.773014106027074e-14
23,2022,aware,8760,335453245.1685566,1954276.5962050045,333498968.5723516,1508378400.0,4168737.1071543954,335453245.16855663,-1.7768391164450004e-14
23,2023,aware,8760,334208672.12892616,930561.5786202176,333278110.5503059,1508835600.0,4165976.3818788235,334208672.1289261,1.783455958689104e-14
23,2024,aware,8784,337252616.47004294,749883.0580643286,336502733.41197854,1523034000.0,4206284.167649733,337252616.47004294,0.0
23,2025,aware,8616,329652646.2365427,704728.0064066974,328947918.23013604,1489442400.0,4111848.9778767005,329652646.23654276,-1.8081045444610575e-14
31,2021,aware,8760,332309553.2913964,759179.3431119684,331550373.94828445,1500426000.0,4144379.674353556,332309553.2913964,0.0
31,2022,aware,8760,339515200.9496023,1945465.1716343411,337569735.77796793,1526734800.0,4219621.697224599,339515200.9496023,0.0
31,2023,aware,8760,338687539.1625738,953022.8283410321,337734516.3342328,1526796000.0,4221681.45417791,338687539.1625738,0.0
31,2024,aware,8784,333813852.99522066,760143.5797249945,333053709.41549563,1504436400.0,4163171.3676936957,333813852.99522066,0.0
