time,m_dot,cost_eur,true_cost_eur
2022-04-14 21:00:00+00:00,10.0,8064.920934535307,8048.829543136981
2022-04-14 22:00:00+00:00,75.0,60314.067579654635,60186.90828380023
2022-04-14 23:00:00+00:00,80.0,64330.673044573414,64188.8045036192
2022-04-15 00:00:00+00:00,75.0,60166.20354805806,60166.200052624474
2022-04-15 01:00:00+00:00,75.0,60166.31111032165,60160.47218187124
2022-04-15 02:00:00+00:00,75.0,60175.47182977068,60163.796417844045
2022-04-15 03:00:00+00:00,70.0,56169.566188679324,56153.21961150215
2022-04-15 04:00:00+00:00,55.0,44146.00423453944,44128.88296173398
2022-04-15 05:00:00+00:00,10.0,8066.253401356076,8062.395757468851
2022-04-15 06:00:00+00:00,10.0,8063.548662120735,8058.915574740574
2022-04-15 07:00:00+00:00,10.0,8042.493875899536,8037.060946414846
2022-04-15 08:00:00+00:00,45.0,36127.764088107506,36099.72372565162
2022-04-15 09:00:00+00:00,60.0,48157.95929036892,48115.86498217893
2022-04-15 10:00:00+00:00,60.0,48155.57405286803,48108.78254791547
2022-04-15 11:00:00+00:00,64.0,51363.31257528896,51308.32268704294
2022-04-15 12:00:00+00:00,70.0,56163.36722059394,56097.77527593741
2022-04-15 13:00:00+00:00,70.0,56166.775033823724,56095.70081426626
2022-04-15 14:00:00+00:00,65.0,52165.738801309126,52094.66788107449
2022-04-15 15:00:00+00:00,55.0,44145.534023582295,44081.09382698522
2022-04-15 16:00:00+00:00,40.0,32117.2224857743,32067.248539644756
2022-04-15 17:00:00+00:00,10.0,8049.933153694754,8036.718560109701
2022-04-15 18:00:00+00:00,10.0,8049.933156293311,8035.93650011783
2022-04-15 19:00:00+00:00,55.0,44145.7992771148,44064.06349118147
2022-04-15 20:00:00+00:00,60.0,48152.37596906795,48058.45977572437
2022-04-15 21:00:00+00:00,65.0,52161.297599106445,52054.416436847125
2022-04-15 22:00:00+00:00,50.0,40140.426520464745,40054.33151735223
2022-04-15 23:00:00+00:00,55.0,44147.20991652789,44048.13562626284
2022-04-16 00:00:00+00:00,60.0,48048.05077839146,48048.04622051388
2022-04-16 01:00:00+00:00,60.0,48047.301208319164,48042.55503177759
2022-04-16 02:00:00+00:00,60.0,48046.68549004549,48037.194149722105
2022-04-16 03:00:00+00:00,65.0,52047.90275847608,52032.47511571876
2022-04-16 04:00:00+00:00,65.0,52044.10635554696,52023.52783951673
2022-04-16 05:00:00+00:00,65.0,52043.146175817805,52017.41430109001
2022-04-16 06:00:00+00:00,65.0,52048.68567425523,52017.80355498108
2022-04-16 07:00:00+00:00,65.0,52047.85844248858,52011.8164410934
2022-04-16 08:00:00+00:00,65.0,52047.76981051358,52006.56509279531
2022-04-16 09:00:00+00:00,70.0,56044.601331509686,55994.65215870643
2022-04-16 10:00:00+00:00,65.0,52044.37226511652,51992.825208890725
2022-04-16 11:00:00+00:00,75.0,60037.90555130721,59972.431175636666
2022-04-16 12:00:00+00:00,80.0,64009.79457698173,63933.51156415041
2022-04-16 13:00:00+00:00,80.0,64021.18047576718,63938.53951162929
2022-04-16 14:00:00+00:00,65.0,52049.1436133003,51976.89095461826
2022-04-16 15:00:00+00:00,70.0,56037.59209126005,55954.15185216076
2022-04-16 16:00:00+00:00,70.0,56041.29230772243,55952.26959300701
2022-04-16 17:00:00+00:00,10.0,8023.7720117133385,8010.311918353722
2022-04-16 18:00:00+00:00,10.0,8029.484944208794,8015.247520959152
2022-04-16 19:00:00+00:00,75.0,60037.725443377465,59924.318425935664
2022-04-16 20:00:00+00:00,75.0,60031.85498808374,59912.415340606494
2022-04-16 21:00:00+00:00,80.0,64021.99799439467,63888.13141710947
2022-04-16 22:00:00+00:00,80.0,64014.62009448118,63874.299088385545
2022-04-16 23:00:00+00:00,80.0,64010.67192101396,63863.90405817601
2022-04-17 00:00:00+00:00,80.0,63857.8128236774,63857.80964865107
2022-04-17 01:00:00+00:00,80.0,63862.259916417934,63855.818002112355
2022-04-17 02:00:00+00:00,80.0,63870.893680959234,63858.0116546953
2022-04-17 03:00:00+00:00,80.0,63875.741412360854,63856.41605105665
2022-04-17 04:00:00+00:00,80.0,63878.045086374026,63852.27187526487
2022-04-17 05:00:00+00:00,75.0,59892.690548900915,59862.48421787019
2022-04-17 06:00:00+00:00,65.0,51925.43374707511,51894.02914225747
2022-04-17 07:00:00+00:00,60.0,47933.5906703333,47899.76222552339
2022-04-17 08:00:00+00:00,65.0,51922.25801930797,51880.35254910045
2022-04-17 09:00:00+00:00,80.0,63869.972266728175,63811.87159045542
2022-04-17 10:00:00+00:00,80.0,63835.21681699369,63770.57216264819
2022-04-17 11:00:00+00:00,80.0,63813.62236297582,63742.44312236529
2022-04-17 12:00:00+00:00,80.0,63813.58230080996,63735.904788650674
2022-04-17 13:00:00+00:00,80.0,63813.66242690388,63729.48233415788
2022-04-17 14:00:00+00:00,80.0,63828.34585379008,63737.69778422738
2022-04-17 15:00:00+00:00,70.0,55913.23562123786,55828.4054404229
2022-04-17 16:00:00+00:00,60.0,47933.84616504686,47856.28503586432
2022-04-17 17:00:00+00:00,60.0,47935.177383585666,47852.744212409
2022-04-17 18:00:00+00:00,60.0,47939.30551999146,47852.00707452785
2022-04-17 19:00:00+00:00,60.0,47938.04152817311,47845.8562320541
2022-04-17 20:00:00+00:00,60.0,47933.84615107389,47836.75873484959
2022-04-17 21:00:00+00:00,65.0,51920.98177268131,51810.47627924655
2022-04-17 22:00:00+00:00,60.0,47931.802249410175,47824.922241221364
2022-04-17 23:00:00+00:00,65.0,51922.71804269489,51801.61064522563
2022-04-18 00:00:00+00:00,70.0,55783.84427118066,55783.83898571327
2022-04-18 01:00:00+00:00,65.0,51801.44928180703,51796.13126529157
2022-04-18 02:00:00+00:00,55.0,43848.11029583475,43839.11709379922
2022-04-18 03:00:00+00:00,45.0,35881.68347995828,35870.64776124309
2022-04-18 04:00:00+00:00,45.0,35884.50460690136,35869.78880177565
2022-04-18 05:00:00+00:00,10.0,7979.672083502202,7975.58824913426
2022-04-18 06:00:00+00:00,10.0,7980.567701431155,7975.666655513948
2022-04-18 07:00:00+00:00,10.0,7978.733686954617,7973.011554077265
2022-04-18 08:00:00+00:00,55.0,43846.79016819024,43810.75485842016
2022-04-18 09:00:00+00:00,60.0,47828.46288228133,47784.21518310895
2022-04-18 10:00:00+00:00,60.0,47820.64059885786,47771.44447499074
2022-04-18 11:00:00+00:00,70.0,55777.87211467583,55714.68794043536
2022-04-18 12:00:00+00:00,80.0,63721.69015080404,63642.83065054182
2022-04-18 13:00:00+00:00,70.0,55775.89781488011,55701.16834266414
2022-04-18 14:00:00+00:00,60.0,47821.82948638031,47752.86211950577
2022-04-18 15:00:00+00:00,55.0,43846.093436469695,43778.36144254982
2022-04-18 16:00:00+00:00,55.0,43847.78031563521,43775.51277046511
2022-04-18 17:00:00+00:00,10.0,7994.14792969679,7980.255226524938
2022-04-18 18:00:00+00:00,10.0,7994.157992856181,7979.443003522997
2022-04-18 19:00:00+00:00,10.0,7994.145416589319,7978.607472909498
2022-04-18 20:00:00+00:00,65.0,51806.53352655807,51699.570624801796
2022-04-18 21:00:00+00:00,70.0,55782.82423640827,55661.79449028831
2022-04-18 22:00:00+00:00,10.0,7979.714848502255,7961.641840350314
2022-04-18 23:00:00+00:00,55.0,43843.66084912656,43739.500230827914
2022-04-19 00:00:00+00:00,65.0,51691.00512859363,51690.99891412578
2022-04-19 01:00:00+00:00,65.0,51693.08755666173,51693.08123413647
2022-04-19 02:00:00+00:00,60.0,47718.444488223555,47718.43844118556
2022-04-19 03:00:00+00:00,10.0,7964.169879470117,7964.168339031753
2022-04-19 04:00:00+00:00,10.0,7979.549582404666,7979.547255722425
2022-04-19 05:00:00+00:00,10.0,8007.707786051597,8007.704019860721
2022-04-19 06:00:00+00:00,10.0,8008.718943377998,8008.715125494558
2022-04-19 07:00:00+00:00,10.0,7997.126024630818,7997.1227994026085
2022-04-19 08:00:00+00:00,10.0,7991.410457843341,7991.407524807341
