time,m_dot,pinn_cost_eur,true_cost_eur,abs_error_eur,rel_error
2022-11-28 12:00:00+00:00,65.0,52683.24376455975,52678.36041596306,4.883348596689757,9.270122604676523e-05
2022-11-29 15:00:00+00:00,10.0,8146.561123074558,8146.749935922737,-0.18881284817871347,-2.317646296545739e-05
2022-11-30 17:00:00+00:00,10.0,8158.5312245955,8158.980009489342,-0.4487848938415482,-5.500502431921017e-05
2022-12-01 19:00:00+00:00,40.0,32520.91501214998,32522.074974051637,-1.159961901656061,-3.5666909401710356e-05
2022-12-02 21:00:00+00:00,55.0,44639.65104073447,44640.17946505736,-0.5284243228888954,-1.1837414840676352e-05
2022-12-03 23:00:00+00:00,80.0,64781.100374761416,64780.92721071187,0.17316404954908649,2.673071488823453e-06
2022-12-05 01:00:00+00:00,80.0,64635.13088046853,64634.478775014584,0.6521054539480247,1.0089126829981865e-05
2022-12-06 04:00:00+00:00,70.0,56783.32536420876,56782.2400107414,1.0853534673588001,1.9114312277190848e-05
2022-12-07 06:00:00+00:00,60.0,48775.78740052557,48775.79712453033,-0.00972400475438917,-1.9936126782749142e-07
2022-12-08 08:00:00+00:00,10.0,8167.914507027385,8168.115596487687,-0.20108946030177322,-2.461883134807774e-05
2022-12-09 10:00:00+00:00,10.0,8188.905547112418,8188.742438110853,0.16310900156531716,1.9918687490516618e-05
2022-12-10 12:00:00+00:00,10.0,8150.8416633602255,8150.718888010547,0.12277534967870452,1.5063131407977437e-05
2022-12-11 14:00:00+00:00,55.0,44624.164752714634,44623.5803496556,0.5844030590378679,1.3096283499880457e-05
2022-12-12 17:00:00+00:00,10.0,8172.456069292069,8172.369484214249,0.08658507782001834,1.0594855994527919e-05
2022-12-13 19:00:00+00:00,10.0,8131.6050776294605,8131.513067855261,0.09200977419914125,1.1315209534901172e-05
2022-12-14 21:00:00+00:00,10.0,8088.428306697413,8088.44886148536,-0.020554787946821307,-2.5412521360568263e-06
2022-12-15 23:00:00+00:00,10.0,8075.032935287349,8075.073052953473,-0.04011766612438805,-4.96808708250196e-06
2022-12-17 01:00:00+00:00,50.0,40231.65195322443,40231.90919492865,-0.25724170422472525,-6.393972082685551e-06
2022-12-18 03:00:00+00:00,80.0,64148.84089868658,64148.943807588614,-0.10290890203032177,-1.6042181822939483e-06
2022-12-19 06:00:00+00:00,45.0,36217.04936837104,36217.125125418985,-0.07575704794726335,-2.091746589050203e-06
2022-12-20 08:00:00+00:00,45.0,36208.67394744792,36208.71315787873,-0.039210430812090635,-1.0829004234436113e-06
2022-12-21 10:00:00+00:00,10.0,8077.463239248014,8077.486805094956,-0.023565846941892232,-2.917472663233056e-06
2022-12-22 12:00:00+00:00,55.0,44251.63621847976,44251.894177697955,-0.2579592181937187,-5.829337319629424e-06
2022-12-23 14:00:00+00:00,40.0,32230.589305491605,32230.790841081565,-0.20153558996025822,-6.252890006774869e-06
2022-12-24 16:00:00+00:00,50.0,40276.92774714667,40277.09790594712,-0.17015880045073573,-4.22470359828786e-06
2022-12-25 19:00:00+00:00,40.0,32219.614449069933,32219.701999084115,-0.08755001418103348,-2.7172819345722132e-06
2022-12-26 21:00:00+00:00,80.0,64315.45524376252,64315.509614825896,-0.054371063379221596,-8.453802776697827e-07
2022-12-27 23:00:00+00:00,80.0,64390.46821015482,64390.5262305306,-0.058020375785417855,-9.010700670053495e-07
2022-12-29 01:00:00+00:00,80.0,64346.32980957185,64346.349338580505,-0.019529008655808866,-3.034983158123339e-07
2022-12-30 03:00:00+00:00,80.0,64241.95876737361,64241.95911684997,-0.00034947635867865756,-5.440001560330643e-09
2022-12-31 05:00:00+00:00,80.0,64240.59088676248,64240.59103808567,-0.00015132319094846025,-2.3555697392652064e-09
2023-01-01 07:00:00+00:00,80.0,64246.27139862125,64246.275372601776,-0.00397398052882636,-6.185542278380751e-08
2023-01-02 10:00:00+00:00,10.0,8081.870460458776,8081.912038700756,-0.04157824198046001,-5.1446046159808745e-06
2023-01-03 12:00:00+00:00,10.0,8081.473644712716,8081.509122706856,-0.03547799413991015,-4.390020923228377e-06
