seed,year,strategy,n_hours,total_cost_eur,electricity_cost_eur,carbon_cost_eur,delivered_mass_kg,co2_t,reported_total_eur,relative_total_error_pct
19,2023,horizon,8760,334689956.56620044,887107.610120497,333802848.95607996,1511038800.0,4172535.611950999,334689956.56620044,0.0
19,2024,horizon,8784,328229493.09835,707050.6929582058,327522442.40539175,1483268400.0,4094030.5300673973,328229493.09835,0.0
19,2025,horizon,8616,329919287.7356374,646527.7674914015,329272759.96814597,1488704400.0,4115909.4996018256,329919287.7356374,0.0
23,2021,horizon,8760,340737208.7614025,724280.6288975319,340012928.132505,1535947200.0,4250161.601656312,340737208.76140255,-1.7492848812155445e-14
23,2022,horizon,8760,339345539.6951562,1889492.7552753813,337456046.93988085,1524596400.0,4218200.586748511,339345539.6951562,0.0
23,2023,horizon,8760,334914356.8387953,868336.7134544771,334046020.1253408,1511010000.0,4175575.2515667602,334914356.8387953,0.0
23,2024,horizon,8784,328614220.74744725,683095.8075266329,327931124.93992066,1483423200.0,4099139.061749008,328614220.74744725,0.0
23,2025,horizon,8616,329706250.76205325,651093.7505686062,329055157.0114846,1488510000.0,4113189.462643558,329706250.76205325,0.0
31,2021,horizon,8760,340539319.2939197,726814.3443187566,339812504.94960093,1535911200.0,4247656.311870012,340539319.29391974,-1.7503014012882845e-14
31,2022,horizon,8760,339334696.8579711,1930582.5731471304,337404114.28482395,1524610800.0,4217551.4285603,339334696.85797113,-1.7565148900861796e-14
31,2023,horizon,8760,335528906.91577625,899021.2615921515,334629885.6541841,1511132400.0,4182873.570677301,335528906.91577625,0.0
31,2024,horizon,8784,329439206.82332945,688774.7418295501,328750432.0815,1483074000.0,4109380.401018749,329439206.8233295,-1.809275992075685e-14
31,2025,horizon,8616,329683137.8321847,617461.1587260803,329065676.6734586,1488492000.0,4113320.9584182324,329683137.8321847,0.0
37,2021,horizon,8760,340808299.1416536,733460.9255368523,340074838.2161167,1535943600.0,4250935.477701459,340808299.1416536,0.0
37,2022,horizon,8760,339257379.8218363,1921122.5378369368,337336257.2839994,1524196800.0,4216703.216049992,339257379.8218363,0.0
37,2023,horizon,8760,335173589.07246274,879485.1061483684,334294103.9663144,1511251200.0,4178676.2995789293,335173589.07246274,0.0
37,2024,horizon,8784,329100976.2374005,677573.9499456221,328423402.28745484,1483214400.0,4105292.528593186,329100976.2374005,0.0
37,2025,horizon,8616,329599871.5784117,644148.7942848455,328955722.7841269,1488481200.0,4111946.534801586,329599871.5784117,0.0
42,2021,horizon,8760,340686977.998076,726537.0919581405,339960440.9061179,1535947200.0,4249505.511326473,340686977.998076,0.0
42,2022,horizon,8760,339478122.9484035,1925493.1515570965,337552629.7968464,1524564000.0,4219407.87246058,339478122.94840354,-1.7557727802227123e-14
42,2023,horizon,8760,335164717.1213678,826288.0951127629,334338429.026255,1510938000.0,4179230.3628281876,335164717.1213678,0.0
42,2024,horizon,8784,329198347.5665074,698403.3687325389,328499944.1977749,1483297200.0,4106249.3024721863,329198347.5665074,0.0
42,2025,horizon,8616,329672461.3401202,612811.5195097555,329059649.8206104,1488315600.0,4113245.6227576304,329672461.3401202,0.0
