time,m_dot,cost_eur,true_cost_eur
2022-11-27 18:00:00+00:00,70.0,56650.19999697819,56647.77607250765
2022-11-27 19:00:00+00:00,70.0,56661.10196552488,56658.616881506445
2022-11-27 20:00:00+00:00,75.0,60691.03566305808,60688.570532681464
2022-11-27 21:00:00+00:00,80.0,64637.430704509956,64635.42657577907
2022-11-27 22:00:00+00:00,80.0,64550.6645952854,64549.09846541501
2022-11-27 23:00:00+00:00,80.0,64490.755017028794,64489.490960639814
2022-11-28 00:00:00+00:00,80.0,64498.70010617052,64497.39646525191
2022-11-28 01:00:00+00:00,80.0,64486.92093423892,64485.67655466448
2022-11-28 02:00:00+00:00,80.0,64475.36010882635,64474.17404545387
2022-11-28 03:00:00+00:00,80.0,64524.64259653871,64523.207937810395
2022-11-28 04:00:00+00:00,75.0,60674.61742092057,60672.239520886294
2022-11-28 05:00:00+00:00,65.0,52681.21960528786,52678.44826297669
2022-11-28 06:00:00+00:00,65.0,52672.163226057186,52669.44394408614
2022-11-28 07:00:00+00:00,65.0,52681.160273223504,52678.38969830098
2022-11-28 08:00:00+00:00,65.0,52660.64777036868,52657.99454998456
2022-11-28 09:00:00+00:00,65.0,52666.40410086435,52663.71924703532
2022-11-28 10:00:00+00:00,65.0,52677.879145934676,52673.04567164236
2022-11-28 11:00:00+00:00,70.0,56699.78850501317,56695.04910846958
2022-11-28 12:00:00+00:00,65.0,52683.24376455975,52678.36041596307
2022-11-28 13:00:00+00:00,65.0,52683.29072130993,52678.404339469875
2022-11-28 14:00:00+00:00,55.0,44618.09948888465,44613.33461218497
2022-11-28 15:00:00+00:00,65.0,52683.22202495628,52678.331133625274
2022-11-28 16:00:00+00:00,65.0,52686.441345751664,52685.43988888391
2022-11-28 17:00:00+00:00,65.0,52663.30675284557,52662.350645392406
2022-11-28 18:00:00+00:00,70.0,56702.92052783347,56702.005745491464
2022-11-28 19:00:00+00:00,75.0,60696.55196709179,60695.76983210484
2022-11-28 20:00:00+00:00,65.0,52659.704655667585,52658.755023175574
2022-11-28 21:00:00+00:00,70.0,56668.43657861942,56667.58748624779
2022-11-28 22:00:00+00:00,75.0,60674.61366185074,60673.870980697335
2022-11-28 23:00:00+00:00,45.0,36548.70750160549,36547.61463624098
2022-11-29 00:00:00+00:00,75.0,60708.06096357054,60707.26220453776
2022-11-29 01:00:00+00:00,80.0,64708.027563259944,64707.34306976293
